budget_ratio,strategy,avg_precision,avg_diversity,avg_combined_f1_optional
0.1,temporalrnn,0.8452857142857143,44.8,0.9142121614873403
0.2,temporalrnn,0.8406904761904762,45.0,0.9134295340709403

